work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,working_overseas
2022,Expert,Full-time,Data Engineer,300000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Engineer,225000,United States,No remote work,United States,Medium,False
2022,Expert,Full-time,Data Scientist,198440,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Scientist,144000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Applied Scientist,191475,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Applied Scientist,141525,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Analyst,50826,Spain,No remote work,Spain,Medium,False
2022,Expert,Full-time,Data Analyst,37061,Spain,No remote work,Spain,Medium,False
2022,Intermediate,Full-time,Data Scientist,76240,Germany,Fully remote,Germany,Small,False
2022,Expert,Full-time,Lead Data Scientist,156868,United States,Fully remote,United States,Large,False
2022,Expert,Full-time,BI Analyst,200000,Nigeria,Fully remote,Nigeria,Small,False
2022,Expert,Full-time,Data Scientist,198440,United States,No remote work,United States,Large,False
2022,Expert,Full-time,Data Scientist,144000,United States,No remote work,United States,Large,False
2022,Expert,Full-time,Lead Machine Learning Engineer,69886,Portugal,Fully remote,Portugal,Large,False
2022,Intermediate,Full-time,NLP Engineer,5160,Czech Republic,Fully remote,Czech Republic,Medium,False
2022,Expert,Contract,Data Analyst,90000,United States,Fully remote,United States,Medium,False
2022,Intermediate,Full-time,Research Scientist,127066,Germany,No remote work,Germany,Small,False
2022,Intermediate,Full-time,Research Scientist,84711,Germany,No remote work,Germany,Small,False
2022,Expert,Full-time,Data Engineer,200000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,180000,United States,Fully remote,United States,Medium,False
2022,Intermediate,Full-time,Analytics Engineer,108000,United States,Fully remote,United States,Medium,False
2022,Intermediate,Full-time,Analytics Engineer,85000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Machine Learning Engineer,210000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Machine Learning Engineer,180000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,165000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,132000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Analytics Engineer,130000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Analytics Engineer,110000,United States,Fully remote,United States,Medium,False
2022,Intermediate,Full-time,BI Data Analyst,45768,Australia,Partially remote,Australia,Large,False
2021,Junior,Full-time,Data Analyst,42028,Australia,Partially remote,Australia,Large,False
2022,Intermediate,Full-time,Data Analytics Engineer,135000,United States,Fully remote,United States,Large,False
2022,Expert,Full-time,Data Engineer,178800,United States,Fully remote,United States,Large,False
2022,Expert,Full-time,Data Engineer,132100,United States,Fully remote,United States,Large,False
2022,Junior,Full-time,Data Analyst,20000,Costa Rica,Partially remote,United States,Medium,True
2022,Expert,Full-time,Machine Learning Engineer,140000,Canada,No remote work,Canada,Medium,False
2022,Expert,Full-time,Machine Learning Engineer,110000,Canada,No remote work,Canada,Medium,False
2022,Expert,Full-time,Data Engineer,160000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,85000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,ETL Developer,250000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,ETL Developer,63000,United States,Fully remote,United States,Medium,False
2022,Director,Full-time,Data Engineer,187200,United States,Fully remote,United States,Medium,False
2022,Director,Full-time,Data Engineer,116100,United States,Fully remote,United States,Medium,False
2022,Intermediate,Full-time,Data Scientist,10000,Turkey,No remote work,Turkey,Medium,False
2022,Expert,Full-time,Data Engineer,200000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,145000,United States,Fully remote,United States,Medium,False
2022,Expert,Full-time,Data Engineer,229998,United States,No remote work,United States,Large,False
2022,Expert,Full-time,Data Engineer,154545,United States,No remote work,United States,Large,False
2022,Expert,Full-time,Data Scientist,215000,United States,No remote work,United States,Large,False
2022,Expert,Full-time,Data Scientist,159000,United States,No remote work,United States,Large,False
2022,Expert,Full-time,Data Engineer,229998,United States,No remote work,United States,Large,False
